Bug Id,Training Time (s),Time (s),Total Time (s),25%,,,,,Time (s),Total Time (s),50%,,,,,Time (s),Total Time (s),75%,,,,,Time (s),Total Time (s),100%,,,,
,,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE,,,Metallaxis,,,,MUSE
,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,,,,Type 1,,Type 2,,
,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,,,,SBI,Ochiai,SBI,Ochiai,
56317174,117.27,98.33,215.6,FALSE,FALSE,TRUE,TRUE,FALSE,213.91,331.18,TRUE,TRUE,TRUE,TRUE,TRUE,293.25,410.52,TRUE,TRUE,TRUE,TRUE,TRUE,379.75,497.02,TRUE,TRUE,TRUE,TRUE,TRUE
56452176,0.49,7.3,7.79,TRUE,TRUE,TRUE,TRUE,TRUE,13.21,13.7,TRUE,TRUE,TRUE,TRUE,TRUE,14.48,14.97,TRUE,TRUE,TRUE,TRUE,TRUE,20.25,20.74,TRUE,TRUE,TRUE,TRUE,TRUE
56774954,2.27,152.05,154.32,FALSE,FALSE,FALSE,TRUE,FALSE,288.29,290.56,FALSE,FALSE,FALSE,TRUE,FALSE,346.35,348.62,FALSE,FALSE,FALSE,TRUE,FALSE,555.74,558.01,FALSE,FALSE,FALSE,TRUE,FALSE
57326611,10.48,105.98,116.46,FALSE,FALSE,FALSE,FALSE,FALSE,220.19,230.67,FALSE,FALSE,FALSE,FALSE,FALSE,337.18,347.66,FALSE,FALSE,FALSE,FALSE,FALSE,446.01,456.49,FALSE,FALSE,FALSE,FALSE,FALSE
57397440,1.02,84.4,85.42,TRUE,TRUE,FALSE,FALSE,TRUE,156.76,157.78,TRUE,TRUE,FALSE,FALSE,TRUE,231.46,232.48,TRUE,TRUE,FALSE,FALSE,TRUE,317.78,318.8,TRUE,TRUE,FALSE,FALSE,TRUE
57407973,6.35,891.14,897.49,TRUE,TRUE,FALSE,FALSE,TRUE,1754.84,1761.19,TRUE,TRUE,FALSE,FALSE,TRUE,2697.17,2703.52,TRUE,TRUE,FALSE,FALSE,TRUE,3207.65,3214,TRUE,TRUE,FALSE,FALSE,TRUE
57516678,877.35,21.62,898.97,TRUE,TRUE,TRUE,TRUE,TRUE,38.31,915.66,TRUE,TRUE,TRUE,TRUE,TRUE,52.41,929.76,TRUE,TRUE,TRUE,TRUE,TRUE,62.21,939.56,TRUE,TRUE,TRUE,TRUE,TRUE
57943425,3.33,1035.63,1038.96,FALSE,FALSE,FALSE,FALSE,FALSE,1669.09,1672.42,FALSE,FALSE,FALSE,FALSE,FALSE,2211.18,2214.51,FALSE,FALSE,FALSE,FALSE,FALSE,2873.58,2876.91,FALSE,FALSE,FALSE,FALSE,FALSE
59278771,28.26,5.93,34.19,TRUE,FALSE,TRUE,TRUE,TRUE,12.76,41.02,TRUE,FALSE,TRUE,TRUE,TRUE,18.11,46.37,TRUE,FALSE,TRUE,TRUE,TRUE,23.78,52.04,TRUE,FALSE,TRUE,TRUE,TRUE
59758722,0.03,37.61,37.64,FALSE,FALSE,FALSE,TRUE,FALSE,75.78,75.81,FALSE,FALSE,FALSE,TRUE,FALSE,119.96,119.99,FALSE,FALSE,FALSE,TRUE,FALSE,152.33,152.36,FALSE,FALSE,FALSE,TRUE,FALSE
